date,fyear,indfmt,tic,conm,at,emp,revt,xlr,year,firm,aum_crsp,matched_funds,firm_group,revenue_per_employee,aum_per_employee,labor_expense_per_employee,ticker,tic_exp,firm_group_exp,n_documents,document_word_count,direct_ai_count,adjacent_automation_count,weighted_ai_count,ai_exposure,ai_exposure_source
1950-12-31,1950,INDL,SPGI,S&P GLOBAL INC,32.6,3.3,46.7,,1950,SPGI,,,S&P Global,14.151515151515152,,,,,,,,,,,,missing
1951-12-31,1951,INDL,SPGI,S&P GLOBAL INC,36.0,3.6,53.1,,1951,SPGI,,,S&P Global,14.75,,,,,,,,,,,,missing
1952-12-31,1952,INDL,SPGI,S&P GLOBAL INC,41.1,3.7,62.3,,1952,SPGI,,,S&P Global,16.837837837837835,,,,,,,,,,,,missing
1953-12-31,1953,INDL,SPGI,S&P GLOBAL INC,45.7,3.8,67.6,,1953,SPGI,,,S&P Global,17.789473684210524,,,,,,,,,,,,missing
1954-12-31,1954,INDL,SPGI,S&P GLOBAL INC,46.6,3.9,70.0,,1954,SPGI,,,S&P Global,17.94871794871795,,,,,,,,,,,,missing
1955-12-31,1955,INDL,SPGI,S&P GLOBAL INC,50.8,4.0,76.7,,1955,SPGI,,,S&P Global,19.175,,,,,,,,,,,,missing
1956-12-31,1956,INDL,SPGI,S&P GLOBAL INC,57.7,4.4,88.7,,1956,SPGI,,,S&P Global,20.159090909090907,,,,,,,,,,,,missing
1957-12-31,1957,INDL,SPGI,S&P GLOBAL INC,60.9,4.8,98.2,,1957,SPGI,,,S&P Global,20.458333333333336,,,,,,,,,,,,missing
1958-12-31,1958,INDL,SPGI,S&P GLOBAL INC,63.1,4.8,96.2,,1958,SPGI,,,S&P Global,20.041666666666668,,,,,,,,,,,,missing
1959-12-31,1959,INDL,SPGI,S&P GLOBAL INC,72.8,4.9,105.8,,1959,SPGI,,,S&P Global,21.591836734693874,,,,,,,,,,,,missing
1960-12-31,1960,INDL,SPGI,S&P GLOBAL INC,80.5,5.1,116.8,,1960,SPGI,,,S&P Global,22.901960784313726,,,,,,,,,,,,missing
1961-12-31,1961,INDL,SPGI,S&P GLOBAL INC,102.9,7.2,148.0,,1961,SPGI,,,S&P Global,20.555555555555554,,,,,,,,,,,,missing
1962-12-31,1962,INDL,SPGI,S&P GLOBAL INC,111.7,7.4,157.0,,1962,SPGI,,,S&P Global,21.216216216216214,,,,,,,,,,,,missing
1963-12-31,1963,INDL,SPGI,S&P GLOBAL INC,116.683,7.8,170.37,,1963,SPGI,,,S&P Global,21.842307692307692,,,,,,,,,,,,missing
1964-12-31,1964,INDL,SPGI,S&P GLOBAL INC,134.674,8.3,193.388,59.238,1964,SPGI,,,S&P Global,23.299759036144575,,7.137108433734939,,,,,,,,,,missing
1965-12-31,1965,INDL,SPGI,S&P GLOBAL INC,150.687,8.9,216.198,65.93,1965,SPGI,,,S&P Global,24.29191011235955,,7.407865168539327,,,,,,,,,,missing
1966-12-31,1966,INDL,SPGI,S&P GLOBAL INC,226.432,11.4,307.606,86.52,1966,SPGI,,,S&P Global,26.98298245614035,,7.5894736842105255,,,,,,,,,,missing
