Firm FE regression: log1p(aum_per_employee) on AI exposure

N = 33
R-squared = 0.989

C(year)[T.2016]: -0.0562 (0.1915)
C(year)[T.2017]: 0.0107 (0.2019)
C(year)[T.2018]: -0.0590 (0.1942)
C(year)[T.2019]: 0.0749 (0.1961)
C(year)[T.2020]: 0.2036 (0.2243)
C(year)[T.2021]: 0.2064 (0.2086)
C(year)[T.2022]: -0.0287 (0.2100)
C(year)[T.2023]: 0.1498 (0.2294)
C(year)[T.2024]: -0.0339 (0.2442)
C(year)[T.2025]: -0.3512 (0.3431)
C(firm)[T.JPM]: 0.4081 (0.0918)***
C(firm)[T.STT]: 2.3812 (0.1140)***
ai_exposure: 0.5843 (0.1646)***
