Firm FE regression: log1p(labor_expense_per_employee) on AI exposure

N = 44
R-squared = 0.778

C(year)[T.2016]: -0.0067 (0.0896)
C(year)[T.2017]: -0.0197 (0.0730)
C(year)[T.2018]: -0.0019 (0.0570)
C(year)[T.2019]: 0.0129 (0.0577)
C(year)[T.2020]: 0.0089 (0.0554)
C(year)[T.2021]: 0.0729 (0.0544)
C(year)[T.2022]: 0.0404 (0.0582)
C(year)[T.2023]: 0.0659 (0.0673)
C(year)[T.2024]: 0.0661 (0.1037)
C(year)[T.2025]: 0.1175 (0.1386)
C(firm)[T.BK]: -0.2618 (0.0325)***
C(firm)[T.JPM]: -0.1625 (0.0309)***
C(firm)[T.STT]: -0.3945 (0.0538)***
ai_exposure: 0.0107 (0.0219)
