Firm FE regression: log1p(revenue_per_employee) on AI exposure

N = 55
R-squared = 0.923

C(year)[T.2016]: 0.0131 (0.0662)
C(year)[T.2017]: 0.0572 (0.0633)
C(year)[T.2018]: 0.1463 (0.0537)***
C(year)[T.2019]: 0.2079 (0.0551)***
C(year)[T.2020]: 0.1157 (0.0703)
C(year)[T.2021]: 0.1236 (0.0861)
C(year)[T.2022]: 0.1638 (0.0599)***
C(year)[T.2023]: 0.5251 (0.0852)***
C(year)[T.2024]: 0.7104 (0.0931)***
C(year)[T.2025]: 0.8482 (0.1338)***
C(firm)[T.BK]: -0.3536 (0.0448)***
C(firm)[T.JPM]: -0.0620 (0.0339)*
C(firm)[T.SPGI]: -0.5448 (0.0531)***
C(firm)[T.STT]: -0.5383 (0.0547)***
ai_exposure: -0.0535 (0.0117)***
