year,firm_group,n_obs,n_firms,aum_total,emp_total,rev_total,aum_per_employee_mean,aum_per_employee_median,revenue_per_employee_mean,revenue_per_employee_median,aum_per_employee_total,revenue_per_employee_total
1969,BNY Mellon / Dreyfus family,1,1,454.4740000000001,,170.536,,,,,,
1970,BNY Mellon / Dreyfus family,1,1,515.94,5.394,192.973,95.65072302558399,95.65072302558399,35.77549128661476,35.77549128661476,95.65072302558399,35.77549128661476
1971,BNY Mellon / Dreyfus family,1,1,714.6089999999999,5.115,191.752,139.70850439882696,139.70850439882696,37.488172043010756,37.488172043010756,139.70850439882696,37.488172043010756
1972,BNY Mellon / Dreyfus family,1,1,972.343,5.364,206.019,181.27199850857568,181.27199850857568,38.40771812080537,38.40771812080537,181.27199850857568,38.40771812080537
1973,BNY Mellon / Dreyfus family,1,1,837.046,5.317,268.625,157.4282490126011,157.4282490126011,50.5219108519842,50.5219108519842,157.4282490126011,50.5219108519842
1974,BNY Mellon / Dreyfus family,1,1,1281.957,5.465,358.853,234.57584629460203,234.57584629460203,65.66386093321135,65.66386093321135,234.57584629460203,65.66386093321135
1975,BNY Mellon / Dreyfus family,1,1,1631.2040000000002,5.397,318.489,302.24272744117104,302.24272744117104,59.01222901612006,59.01222901612006,302.24272744117104,59.01222901612006
1976,BNY Mellon / Dreyfus family,1,1,1766.628,5.234,327.356,337.52923194497515,337.52923194497515,62.544134505158574,62.544134505158574,337.52923194497515,62.544134505158574
1977,BNY Mellon / Dreyfus family,1,1,1849.043,5.253,364.614,351.9975252236817,351.9975252236817,69.41062250142775,69.41062250142775,351.9975252236817,69.41062250142775
1978,BNY Mellon / Dreyfus family,1,1,2327.134,5.381,494.28,432.4724028990894,432.4724028990894,91.85653224307748,91.85653224307748,432.4724028990894,91.85653224307748
1979,BNY Mellon / Dreyfus family,1,1,4612.849,5.833,789.681,790.8193039602263,790.8193039602263,135.3816218069604,135.3816218069604,790.8193039602263,135.3816218069604
1980,BNY Mellon / Dreyfus family,1,1,5744.207,7.199,1097.595,797.9173496318933,797.9173496318933,152.4649256841228,152.4649256841228,797.9173496318933,152.4649256841228
1981,BNY Mellon / Dreyfus family,1,1,11543.961,8.042,1495.531,1435.4589654314846,1435.4589654314846,185.96505844317335,185.96505844317335,1435.4589654314846,185.96505844317335
1982,BNY Mellon / Dreyfus family,1,1,17772.042999999998,8.524,1520.737,2084.9416940403567,2084.9416940403567,178.40649929610515,178.40649929610515,2084.9416940403567,178.40649929610515
1983,BNY Mellon / Dreyfus family,1,1,15775.437,8.251,1339.558,1911.9424312204583,1911.9424312204583,162.3509877590595,162.3509877590595,1911.9424312204583,162.3509877590595
