year,firm_group,n_obs,n_firms,mean_emp,mean_xlr,mean_real_labor_per_employee,median_real_labor_per_employee,mean_labor_share_revenue,median_labor_share_revenue
1969,BNY Mellon / Dreyfus family,1,1,,50.551,,,0.2964242154149271,0.2964242154149271
1970,BNY Mellon / Dreyfus family,1,1,5.394,57.03,87.63933358194865,87.63933358194865,0.29553357205412156,0.29553357205412156
1971,BNY Mellon / Dreyfus family,1,1,5.115,58.125,90.37442711859794,90.37442711859794,0.3031259126371563,0.3031259126371563
1972,BNY Mellon / Dreyfus family,1,1,5.364,62.104,89.1604892456557,89.1604892456557,0.3014479247059737,0.3014479247059737
1973,BNY Mellon / Dreyfus family,1,1,5.317,65.018,88.6225012550827,88.6225012550827,0.2420400186133085,0.2420400186133085
1974,BNY Mellon / Dreyfus family,1,1,5.465,74.007,88.40837591428416,88.40837591428416,0.20623207831619075,0.20623207831619075
1975,BNY Mellon / Dreyfus family,1,1,5.397,77.416,85.80226755202828,85.80226755202828,0.2430727591847756,0.2430727591847756
1976,BNY Mellon / Dreyfus family,1,1,5.234,82.743,89.39956939329237,89.39956939329237,0.2527615195689097,0.2527615195689097
1977,BNY Mellon / Dreyfus family,1,1,5.253,83.839,84.77174674300645,84.77174674300645,0.22993905884030785,0.22993905884030785
1978,BNY Mellon / Dreyfus family,1,1,5.381,92.003,84.37590494237931,84.37590494237931,0.186135388848426,0.186135388848426
1979,BNY Mellon / Dreyfus family,1,1,5.833,104.446,79.42686494000918,79.42686494000918,0.13226353426256932,0.13226353426256932
1980,BNY Mellon / Dreyfus family,1,1,7.199,129.023,70.04225118140613,70.04225118140613,0.1175506448188995,0.1175506448188995
1981,BNY Mellon / Dreyfus family,1,1,8.042,163.45,71.96183659446595,71.96183659446595,0.10929228481388885,0.10929228481388885
1982,BNY Mellon / Dreyfus family,1,1,8.524,194.235,75.99958835631558,75.99958835631558,0.1277242547527942,0.1277242547527942
1983,BNY Mellon / Dreyfus family,1,1,8.251,207.861,81.44871930082225,81.44871930082225,0.15517133263360003,0.15517133263360003
1984,BNY Mellon / Dreyfus family,1,1,7.457,214.253,89.00459049474573,89.00459049474573,0.13586500565964152,0.13586500565964152
1985,BNY Mellon / Dreyfus family,1,1,7.616,224.881,88.35233893997467,88.35233893997467,0.14109215432481795,0.14109215432481795
1986,BNY Mellon / Dreyfus family,1,1,9.304,284.355,89.70611034206934,89.70611034206934,0.16251030137744132,0.16251030137744132
1987,BNY Mellon / Dreyfus family,1,1,10.249,340.751,94.21457561033021,94.21457561033021,0.15918659276755415,0.15918659276755415
1988,BNY Mellon / Dreyfus family,1,1,17.776,407.561,62.41228956329367,62.41228956329367,0.15553513442139477,0.15553513442139477
1989,BNY Mellon / Dreyfus family,1,1,14.883,700.92,122.3390581112114,122.3390581112114,0.1275154427728696,0.1275154427728696
1990,BNY Mellon / Dreyfus family,1,1,13.847,679.457,120.91318603560362,120.91318603560362,0.12740435864862204,0.12740435864862204
1991,BNY Mellon / Dreyfus family,1,1,13.226,594.0,106.19195453634316,106.19195453634316,0.140625,0.140625
1992,BNY Mellon / Dreyfus family,1,1,14.13,668.0,108.48141182981384,108.48141182981384,0.18643594753000278,0.18643594753000278
1993,BNY Mellon / Dreyfus family,1,1,15.621,813.0,115.98277727236731,115.98277727236731,0.21406003159557663,0.21406003159557663
1994,BNY Mellon / Dreyfus family,1,1,15.477,852.0,119.57374931627697,119.57374931627697,0.20042357122340945,0.20042357122340945
1995,BNY Mellon / Dreyfus family,1,1,15.81,913.0,122.01295129194347,122.01295129194347,0.1713910268443777,0.1713910268443777
1996,BNY Mellon / Dreyfus family,1,1,16.158,1014.0,128.8093085422774,128.8093085422774,0.17748993523542797,0.17748993523542797
1997,BNY Mellon / Dreyfus family,1,1,16.494,1066.0,129.62627161233738,129.62627161233738,0.18711602597858523,0.18711602597858523
1998,BNY Mellon / Dreyfus family,1,1,17.157,1178.0,135.61215771660616,135.61215771660616,0.20334886932504748,0.20334886932504748
1999,BNY Mellon / Dreyfus family,1,1,17.735,1251.0,136.33239453876155,136.33239453876155,0.20609555189456344,0.20609555189456344
2000,BNY Mellon / Dreyfus family,1,1,18.861,1488.0,147.51309679088823,147.51309679088823,0.1987710392733102,0.1987710392733102
2001,BNY Mellon / Dreyfus family,1,1,19.181,1588.0,150.55953240079745,150.55953240079745,0.2217877094972067,0.2217877094972067
2002,BNY Mellon / Dreyfus family,1,1,19.435,1581.0,145.6133296022363,145.6133296022363,0.27466990965948573,0.27466990965948573
2003,BNY Mellon / Dreyfus family,1,1,22.901,2002.0,152.96648855280668,152.96648855280668,0.3159722222222222,0.3159722222222222
2004,BNY Mellon / Dreyfus family,1,1,23.363,2324.0,169.53559398926507,169.53559398926507,0.32764697589172426,0.32764697589172426
2005,BNY Mellon / Dreyfus family,1,1,23.451,2549.0,179.21933027161725,179.21933027161725,0.30666506256015397,0.30666506256015397
2006,BNY Mellon / Dreyfus family,1,1,22.961,2640.0,183.66096574221132,183.66096574221132,0.2924559654370223,0.2924559654370223
2007,BNY Mellon / Dreyfus family,1,1,42.1,4120.0,151.9594778092325,151.9594778092325,0.27871735895007443,0.27871735895007443
2008,BNY Mellon / Dreyfus family,1,1,42.9,5115.0,178.33685552743364,178.33685552743364,0.3039576895650107,0.3039576895650107
2009,BNY Mellon / Dreyfus family,1,1,42.2,4700.0,167.12125741084367,167.12125741084367,0.5677014132141563,0.5677014132141563
2010,BNY Mellon / Dreyfus family,1,1,48.0,5215.0,160.40184697596968,160.40184697596968,0.3600773320444659,0.3600773320444659
2011,BNY Mellon / Dreyfus family,1,1,48.7,5726.0,168.3034462740341,168.3034462740341,0.3758204253084799,0.3758204253084799
2012,BNY Mellon / Dreyfus family,1,1,49.5,5761.0,163.2118212452124,163.2118212452124,0.3818013122141958,0.3818013122141958
2013,BNY Mellon / Dreyfus family,1,1,51.1,6019.0,162.79533649664162,162.79533649664162,0.39273130627691505,0.39273130627691505
2014,BNY Mellon / Dreyfus family,1,1,50.3,5845.0,158.05027122492965,158.05027122492965,0.38428665351742275,0.38428665351742275
2015,BNY Mellon / Dreyfus family,1,1,51.2,5837.0,154.87191676884675,154.87191676884675,0.37672647476442495,0.37672647476442495
2016,BNY Mellon / Dreyfus family,1,1,52.0,5733.0,147.8979140148826,147.8979140148826,0.3657649610820467,0.3657649610820467
2017,BNY Mellon / Dreyfus family,1,1,52.5,5972.0,149.41165275543483,149.41165275543483,0.3593909851357044,0.3593909851357044
2018,BNY Mellon / Dreyfus family,1,1,51.3,6145.0,153.59008052283028,153.59008052283028,0.3198355280278978,0.3198355280278978
2019,BNY Mellon / Dreyfus family,1,1,48.4,6063.0,157.75986099093512,157.75986099093512,0.303043934622882,0.303043934622882
2020,BNY Mellon / Dreyfus family,1,1,48.5,5966.0,152.99885752246533,152.99885752246533,0.3521841794569067,0.3521841794569067
2021,BNY Mellon / Dreyfus family,1,1,49.1,6337.0,153.34867278814545,153.34867278814545,0.39218962742913727,0.39218962742913727
2022,BNY Mellon / Dreyfus family,1,1,51.7,6800.0,144.71359560526054,144.71359560526054,0.34015306888099645,0.34015306888099645
2023,BNY Mellon / Dreyfus family,1,1,53.4,7095.0,140.39088330146646,140.39088330146646,0.20988019523739093,0.20988019523739093
2024,BNY Mellon / Dreyfus family,1,1,51.8,7130.0,141.2707606086167,141.2707606086167,0.17863406323595732,0.17863406323595732
2025,BNY Mellon / Dreyfus family,1,1,48.1,7159.0,148.83575883575884,148.83575883575884,0.1758535986244166,0.1758535986244166
1958,Bank of America / Merrill Lynch family,1,1,,,,,,
1959,Bank of America / Merrill Lynch family,1,1,0.645,3.17,54.28320511751204,54.28320511751204,0.3842424242424242,0.3842424242424242
1960,Bank of America / Merrill Lynch family,1,1,1.552,6.8,47.68152270101921,47.68152270101921,,
1961,Bank of America / Merrill Lynch family,1,1,1.574,8.26,56.50467969217985,56.50467969217985,,
1962,Bank of America / Merrill Lynch family,1,1,1.738,8.82,54.007002588963964,54.007002588963964,,
1963,Bank of America / Merrill Lynch family,1,1,1.8,9.616,56.14772792561084,56.14772792561084,0.3361885116945775,0.3361885116945775
1964,Bank of America / Merrill Lynch family,1,1,1.79,9.858,57.127061295649895,57.127061295649895,0.3156378073770492,0.3156378073770492
1965,Bank of America / Merrill Lynch family,1,1,1.932,9.887,52.25897562943021,52.25897562943021,0.2757572376861717,0.2757572376861717
1966,Bank of America / Merrill Lynch family,1,1,2.126,10.959,51.111511706814674,51.111511706814674,0.25729579977930644,0.25729579977930644
1967,Bank of America / Merrill Lynch family,1,1,2.319,15.132,62.94754594743164,62.94754594743164,0.2803831829383535,0.2803831829383535
1968,Bank of America / Merrill Lynch family,1,1,2.526,17.635,64.60578055463249,64.60578055463249,0.2787216892415167,0.2787216892415167
1969,Bank of America / Merrill Lynch family,1,1,2.918,24.336,73.19806673615889,73.19806673615889,0.26229225496324715,0.26229225496324715
1970,Bank of America / Merrill Lynch family,1,1,,29.104,,,0.26038721683426974,0.26038721683426974
1971,Bank of America / Merrill Lynch family,1,1,3.34,32.742,77.96271717338556,77.96271717338556,0.25708430499611334,0.25708430499611334
1972,Bank of America / Merrill Lynch family,1,1,3.964,39.538,76.81087106041093,76.81087106041093,0.2320781850732251,0.2320781850732251
1973,Bank of America / Merrill Lynch family,1,1,4.333,45.922,76.80847856712441,76.80847856712441,0.1637895367583068,0.1637895367583068
1974,Bank of America / Merrill Lynch family,1,1,4.443,48.784,71.68229030187678,71.68229030187678,0.1365485004128588,0.1365485004128588
1975,Bank of America / Merrill Lynch family,1,1,4.312,51.746,71.78248475750789,71.78248475750789,0.17997106328515186,0.17997106328515186
