"Datadate","Fyear","At","Emp","Sale","Xagt","Xlr","Xstfws"
"1985-12-31","1985","15794.1070","3.9470","","536.2900","421.4730",""
"1985-12-31","1985","15794.0000","4.1000","1794.9020","","421.4730",""
"1986-12-31","1986","29190.3610","5.3320","","856.9100","694.7590",""
"1986-12-31","1986","29190.2970","5.3320","2463.4840","","694.7590",""
"1987-12-31","1987","29662.6150","6.5170","","1089.5730","885.4280",""
"1987-12-31","1987","29662.6150","6.5170","3147.9090","","885.4280",""
"1988-12-31","1988","40050.7710","6.4140","","1275.0170","1039.6040",""
"1988-12-31","1988","40050.7710","6.4140","4108.8290","","1039.6040",""
"1989-12-31","1989","53275.5200","6.6400","","1404.1420","1137.6460",""
"1989-12-31","1989","53275.5200","6.6400","5831.0190","","1137.6460",""
"1990-12-31","1990","53526.4810","7.1220","","1349.8750","1057.0010",""
"1990-12-31","1990","53526.4810","7.1220","5869.6260","","1057.0010",""
"1991-12-31","1991","63709.0550","7.0530","","1708.5100","1395.9850",""
"1991-12-31","1991","63709.0550","7.0530","6785.1420","","1395.9850",""
"2011-12-31","2011","749898.0000","61.8990","40927.0000","","16403.0000",""
"2011-12-31","2011","","","","","",""
"2012-12-31","2012","780960.0000","57.0610","","20052.0000","",""
"2012-12-31","2012","780960.0000","57.0610","32007.0000","","15622.0000",""
"2013-12-31","2013","832702.0000","55.7940","","21312.0000","",""
"2013-12-31","2013","832702.0000","55.7940","36848.0000","","16277.0000",""
"2014-12-31","2014","801510.0000","55.8020","","21191.0000","",""
"2014-12-31","2014","801510.0000","55.8020","37661.0000","","17824.0000",""
"2015-12-31","2015","787465.0000","56.2180","","20703.0000","",""
"2015-12-31","2015","787465.0000","56.2180","37968.0000","","16016.0000",""
"2016-12-31","2016","814949.0000","55.3110","","19948.0000","",""
"2016-12-31","2016","814949.0000","55.3110","37949.0000","","15878.0000",""
"2017-12-31","2017","851733.0000","57.6330","","21489.0000","",""
"2017-12-31","2017","851733.0000","57.6330","43642.0000","","17166.0000",""
"2018-12-31","2018","853531.0000","60.3480","","22196.0000","",""
"2018-12-31","2018","853531.0000","60.3480","50193.0000","","17632.0000",""
"2019-12-31","2019","895429.0000","60.4310","","23294.0000","",""
"2019-12-31","2019","895429.0000","60.4310","53823.0000","","18837.0000",""
"2019-12-31","2019","895429.0000","60.4310","53942.0000","","",""
"2020-12-31","2020","1115862.0000","68.0970","","25950.0000","",""
"2020-12-31","2020","1115862.0000","68.0970","52047.0000","","20854.0000",""
"2020-12-31","2020","1115862.0000","68.0970","52606.0000","","",""
"2021-12-31","2021","1188140.0000","74.8140","","30234.0000","",""
"2021-12-31","2021","1188140.0000","74.8140","61121.0000","","24628.0000",""
"2021-12-31","2021","1188140.0000","74.8140","61121.0000","","",""
"2022-12-31","2022","1180231.0000","82.4270","","29278.0000","",""
"2022-12-31","2022","1180231.0000","82.4270","65936.0000","","23053.0000",""
"2022-12-31","2022","1180231.0000","82.4270","65936.0000","","",""
"2023-12-31","2023","1193693.0000","80.0060","","31489.0000","",""
"2023-12-31","2023","1193693.0000","80.0060","96194.0000","","24558.0000",""
"2023-12-31","2023","1193693.0000","80.0060","91762.0000","","",""
"2024-12-31","2024","1215071.0000","80.4780","","32772.0000","",""
"2024-12-31","2024","1215071.0000","80.4780","107285.0000","","26178.0000",""
"2024-12-31","2024","1215071.0000","80.4780","107285.0000","","",""
"2025-12-31","2025","1420270.0000","82.9920","","36406.0000","",""
"2025-12-31","2025","1420270.0000","82.9920","119662.0000","","29216.0000",""
"2025-12-31","2025","1420270.0000","82.9920","119662.0000","","",""
"2009-12-31","2009","771462.0000","61.3880","","17918.0000","14438.0000",""
"2009-12-31","2009","771462.0000","61.3880","29260.0000","","14438.0000",""
"2010-12-31","2010","807698.0000","62.5420","","19639.0000","",""
"2010-12-31","2010","807698.0000","62.5420","37392.0000","","16048.0000",""
"2011-12-31","2011","749898.0000","61.8990","","20960.0000","",""
"2008-11-30","2008","658812.0000","46.9640","57784.0000","","12306.0000",""
"2005-11-30","2005","","","","","",""
"2006-11-30","2006","1120645.0000","55.3100","","17836.0000","14387.0000",""
"2006-11-30","2006","1120645.0000","55.3100","76551.0000","","14387.0000",""
"2007-11-30","2007","1045409.0000","48.2560","","19624.0000","16552.0000",""
"2007-11-30","2007","1045409.0000","48.2560","85328.0000","","16552.0000",""
"2008-11-30","2008","658812.0000","46.9640","","16215.0000","12306.0000",""
"1995-11-30","1995","143753.0000","9.2380","","2181.0000","1795.0000",""
"1995-11-30","1995","143753.0000","9.2380","9124.0000","","1795.0000",""
"1996-11-30","1996","196446.0000","11.6130","","3395.0000","2863.0000",""
"1996-11-30","1996","196446.0000","11.6130","13144.0000","","2863.0000",""
"1997-11-30","1997","302287.0000","47.2770","","7724.0000","6019.0000",""
"1997-11-30","1997","302287.0000","47.2770","27132.0000","","6019.0000",""
"1998-11-30","1998","317590.0000","45.7120","","8630.0000","6636.0000",""
"1998-11-30","1998","317590.0000","45.7120","31131.0000","","6636.0000",""
"1999-11-30","1999","366967.0000","55.2880","","10720.0000","8398.0000",""
"1999-11-30","1999","366967.0000","55.2880","33928.0000","","8398.0000",""
"2000-11-30","2000","426794.0000","62.6790","","13766.0000","10936.0000",""
"2000-11-30","2000","426794.0000","62.6790","45413.0000","","10936.0000",""
"2001-11-30","2001","482628.0000","61.3190","","11550.0000","9397.0000",""
"2001-11-30","2001","482628.0000","61.3190","43727.0000","","9397.0000",""
"2001-11-30","2001","","","","","",""
"2002-11-30","2002","529499.0000","55.7260","","10906.0000","7933.0000",""
"2002-11-30","2002","529499.0000","55.7260","32242.0000","","7933.0000",""
"2002-11-30","2002","","","","","",""
"2003-11-30","2003","602843.0000","51.1960","","11829.0000","8545.0000",""
"2003-11-30","2003","602843.0000","51.1960","34933.0000","","8545.0000",""
"2004-11-30","2004","775410.0000","53.2840","","13289.0000","9880.0000",""
"2004-11-30","2004","775410.0000","53.2840","39549.0000","","9880.0000",""
"2005-11-30","2005","898523.0000","53.2180","","15290.0000","11313.0000",""
"2005-11-30","2005","898523.0000","53.2180","52081.0000","","11313.0000",""
"1993-01-31","1992","80353.2240","7.4210","7382.0090","","1456.8420",""
"1994-01-31","1993","97242.0000","8.2730","","2431.0000","2049.0000",""
"1994-01-31","1993","97242.0000","8.2730","9176.0000","","2049.0000",""
"1995-01-31","1994","116694.0000","9.6850","","2201.0000","1733.0000",""
"1995-01-31","1994","116694.0000","9.6850","9376.0000","","1733.0000",""
"1993-01-31","1992","80353.2240","7.4210","","1787.1480","1456.8420",""
