year,n_obs,n_firms,aum_total,emp_total,rev_total,aum_per_employee_mean,aum_per_employee_median,revenue_per_employee_mean,revenue_per_employee_median,aum_per_employee_total,revenue_per_employee_total
1950,1,1,0.0,3.3,46.7,,,14.151515151515152,14.151515151515152,0.0,14.151515151515152
1951,1,1,0.0,3.6,53.1,,,14.75,14.75,0.0,14.75
1952,1,1,0.0,3.7,62.3,,,16.837837837837835,16.837837837837835,0.0,16.837837837837835
1953,1,1,0.0,3.8,67.6,,,17.789473684210524,17.789473684210524,0.0,17.789473684210524
1954,1,1,0.0,3.9,70.0,,,17.94871794871795,17.94871794871795,0.0,17.94871794871795
1955,1,1,0.0,4.0,76.7,,,19.175,19.175,0.0,19.175
1956,1,1,0.0,4.4,88.7,,,20.159090909090907,20.159090909090907,0.0,20.159090909090907
1957,1,1,0.0,4.8,98.2,,,20.458333333333336,20.458333333333336,0.0,20.458333333333336
1958,3,3,0.0,4.8,96.2,,,20.041666666666668,20.041666666666668,0.0,20.041666666666668
1959,3,3,0.0,5.545,250.768,,,17.19126720455624,17.19126720455624,0.0,45.224165915238956
1960,3,3,0.0,14.057,285.84499999999997,,,22.865227522474214,22.865227522474214,0.0,20.33470868606388
1961,3,3,0.0,16.694,320.132,,,21.14469696969697,21.14469696969697,0.0,19.176470588235297
1962,3,3,0.0,17.385,349.544,,,22.281686378994493,22.281686378994493,0.0,20.106068449813055
1963,4,4,466.4,19.689,228.219,260.99608282036934,260.99608282036934,18.032946581595155,16.365976496922215,23.688353903194677,11.591193051957946
1964,4,4,531.7,20.243000000000002,256.455,289.1245241979337,289.1245241979337,19.352947445607033,17.44804469273743,26.26586968334733,12.668823790940076
1965,4,4,655.0,21.04,560.525,352.1505376344086,352.1505376344086,23.691056550525126,21.772030324996976,31.131178707224336,26.64092205323194
1966,4,4,635.7,24.725,690.564,293.7615526802218,293.7615526802218,25.083049951751335,23.776380322340046,25.710819009100103,27.92978766430738
1967,4,4,818.3,26.443,785.833,386.5375531412376,386.5375531412376,27.5825407377414,25.36141087825616,30.945807964300567,29.71799720152781
1968,4,4,1000.738,29.175,914.2209999999999,370.6437037037037,370.6437037037037,28.81373780564105,26.7917416082049,34.30121679520137,31.33576692373607
1969,5,5,1411.2740000000001,32.066,1301.0639999999999,253.86044043512865,253.86044043512865,32.44315236055054,30.871601416151755,44.01153870142831,40.57456495977046
1970,5,5,1428.44,21.317,1460.4499999999998,174.56147262390311,174.56147262390311,31.469308661384712,32.03854580865049,67.0094290941502,68.51104752075807
1971,5,5,1813.063,36.142,1456.998,241.4876896994135,241.4876896994135,37.932779418677185,37.488172043010756,50.16498810248464,40.31315367162858
1972,5,5,2370.189,36.714,1592.817,340.251356397145,340.251356397145,40.964877385703154,38.40771812080537,64.55817944108514,43.38445824481125
1973,5,5,1962.1270000000002,37.036,2292.212,170.51002788020676,157.4282490126011,57.74042712393295,50.5219108519842,52.97891240954747,61.8914569607949
1974,5,5,2079.9120000000003,38.48,3188.284,162.75846671384593,234.57584629460203,75.7001689355838,65.66386093321135,54.051767151767166,82.85561330561332
1975,5,5,2681.36,40.258,3084.3360000000002,216.06913507985436,302.24272744117104,67.10424910605941,59.01222901612006,66.60440160961797,76.61423816384321
1976,5,5,2994.3729999999996,39.433,3065.146,251.52566044067828,337.52923194497515,68.26390649523015,62.544134505158574,75.93571374229705,77.73047954758705
